step,metric,value
0,train/loss_total,-2.3894357681274414
0,train/sup0_nll,-1.1108417510986328
0,train/sup1_nll,-1.278593897819519
0,train/recon_data_raw,6.206138610839844
0,train/recon_mix_norm,0.8706193566322327
0,train/recon_mix_raw,50.48845672607422
0,train/recon_phys,0.0
0,train/deg_rmse,5.618833065032959
0,train/kappa_mean,41.65181350708008
0,train/mix_weight,0.0
0,train/mix_weighted_norm,0.0
0,train/mix_var,57.991424560546875
0,train/decoder_recon_mae_4rss,1.9278759956359863
0,train/m3_enabled,1.0
0,train/m3_gate_mean,0.0
0,train/m3_gate_p10,0.0
0,train/m3_gate_p90,0.0
0,train/m3_keep_ratio,1.0
0,train/m3_resid_abs_mean_deg,0.0
0,train/m3_resid_abs_p90_deg,0.0
0,train/m3_delta_clip_rate,0.0
0,train/m3_kappa_corr_spearman,-0.37719941348973607
0,train/m3_residual_penalty,0.0
0,train/m3_gate_entropy,1.4828788152954075e-05
0,train/m3_gate_threshold,0.0
0,train/m3_gate_temp_tau,1.5
0,train/m3_delta_cap_deg_effective,2.0
0,train/m3_gain_applied,0.1
0,train/m3_resid_dir_agree_rate,1.0
0,train/m3_improve_rate_1deg,0.0
0,train/m3_worsen_rate_1deg,0.0
0,train/m3_err_delta_mean_deg,1.0505318641662598e-06
0,train/phi_quality_improve_corr,-0.0593841642228739
0,train/grad_norm_m3,0.0
10,train/loss_total,-1.439424991607666
10,train/sup0_nll,-0.6763060092926025
10,train/sup1_nll,-0.763119101524353
10,train/recon_data_raw,10.11838436126709
10,train/recon_mix_norm,0.7843005061149597
10,train/recon_mix_raw,45.703922271728516
10,train/recon_phys,0.0
10,train/deg_rmse,7.265615940093994
10,train/kappa_mean,41.72057342529297
10,train/mix_weight,0.0
10,train/mix_weighted_norm,0.0
10,train/mix_var,58.27348327636719
10,train/decoder_recon_mae_4rss,2.5391244888305664
10,train/m3_enabled,1.0
10,train/m3_gate_mean,0.0
10,train/m3_gate_p10,0.0
10,train/m3_gate_p90,0.0
10,train/m3_keep_ratio,1.0
10,train/m3_resid_abs_mean_deg,0.0
10,train/m3_resid_abs_p90_deg,0.0
10,train/m3_delta_clip_rate,0.0
10,train/m3_kappa_corr_spearman,-0.5029325513196481
10,train/m3_residual_penalty,0.0
10,train/m3_gate_entropy,1.4828788152954075e-05
10,train/m3_gate_threshold,0.0
10,train/m3_gate_temp_tau,1.5
10,train/m3_delta_cap_deg_effective,2.0
10,train/m3_gain_applied,0.4
10,train/m3_resid_dir_agree_rate,1.0
10,train/m3_improve_rate_1deg,0.0
10,train/m3_worsen_rate_1deg,0.0
10,train/m3_err_delta_mean_deg,5.606561899185181e-07
10,train/phi_quality_improve_corr,-0.04618768328445748
10,train/grad_norm_m3,0.0
20,train/loss_total,-1.235412359237671
20,train/sup0_nll,-0.7118610739707947
20,train/sup1_nll,-0.5235514044761658
20,train/recon_data_raw,21.697139739990234
20,train/recon_mix_norm,1.2195104360580444
20,train/recon_mix_raw,81.59423828125
20,train/recon_phys,0.0
20,train/deg_rmse,8.634317398071289
20,train/kappa_mean,35.98698425292969
20,train/mix_weight,0.0
20,train/mix_weighted_norm,0.0
20,train/mix_var,66.9073715209961
20,train/decoder_recon_mae_4rss,3.7988839149475098
20,train/m3_enabled,1.0
20,train/m3_gate_mean,0.0
20,train/m3_gate_p10,0.0
20,train/m3_gate_p90,0.0
20,train/m3_keep_ratio,1.0
20,train/m3_resid_abs_mean_deg,0.0
20,train/m3_resid_abs_p90_deg,0.0
20,train/m3_delta_clip_rate,0.0
20,train/m3_kappa_corr_spearman,-0.3691348973607038
20,train/m3_residual_penalty,0.0
20,train/m3_gate_entropy,1.4828788152954075e-05
20,train/m3_gate_threshold,0.0
20,train/m3_gate_temp_tau,1.5
20,train/m3_delta_cap_deg_effective,2.0
20,train/m3_gain_applied,0.7
20,train/m3_resid_dir_agree_rate,1.0
20,train/m3_improve_rate_1deg,0.0
20,train/m3_worsen_rate_1deg,0.0
